longest_common_substring,longest_common_subsequence,greedy_string_tiling,2_gram_char,3_gram_char,4_gram_char,1_gram_word_Jaccard,3_gram_word_Jaccard,4_gram_word_Jaccard,2_gram_word_Jaccard_without_SW,4_gram_word_Jaccard_without_SW,1_gram_word_Containment_without_SW_a,2_gram_word_Containment_without_SW_a,1_gram_word_Containment_without_SW_b,2_gram_word_Containment_without_SW_b,average_similarity,lexical_substitution_system,pathlen_similarity,lin_similarity,wordnet_augmented_overlap,wordnet_augmented_word_overlap,weighted_word_overlap,pos_2_ngram_overlap,pos_3_ngram_overlap,pos_4_ngram_overlap
69,97,69,0.79731002738651,0.722290469065958,0.6325303921312374,0.5333333333333333,0.3428571428571428,0.3235294117647058,0.4444444444444444,0.375,0.5625,0.5333333333333333,0.75,0.7272727272727273,0.6336580086580087,0.7720880321914486,0.2630352451781019,0.2795378260837341,0.995249406175772,0.7895209965326824,1.0241732542020414,1.1020408163265307,1.1063829787234043,1.1111111111111112
24,49,24,0.666997498815392,0.5157266969762432,0.4618802153517006,0.3888888888888888,0.0476190476190476,0.0,0.3076923076923077,0.1818181818181817,0.8571428571428571,0.6666666666666666,0.5,0.3636363636363636,0.7803626713843432,0.5210260492953508,0.2315687655965433,0.2978753882719601,0.9798344552925268,0.6182362856154452,0.804488460027153,0.75,0.7272727272727273,0.7
25,52,25,0.7000972424815414,0.5477818123933694,0.4348282767393361,0.3333333333333333,0.074074074074074,0.0384615384615384,0.0588235294117647,0.0,0.5555555555555556,0.125,0.4545454545454545,0.1,0.5745248538011696,0.7994080650317894,0.2143076340243266,0.3029904849691813,0.9878419452887536,0.6753426474647852,0.6133908404960003,0.967741935483871,0.9655172413793104,0.962962962962963
124,127,124,0.9264698879847142,0.8520090152016779,0.8275557291496974,0.6071428571428572,0.5769230769230769,0.56,0.5555555555555556,0.5,0.9166666666666666,0.9090909090909092,0.6111111111111112,0.5882352941176471,0.8271604938271605,0.805629233294362,0.237786851596376,0.1948564743363962,0.9913344887348354,0.7980141349429446,1.2248982431707898,0.7906976744186047,0.7804878048780488,0.7692307692307692
20,57,20,0.5977387946809768,0.3673554389302848,0.2821440468234175,0.1923076923076923,0.0,0.0,0.05,0.0,0.25,0.0909090909090909,0.2727272727272727,0.1,0.547487230186192,0.4629100498862756,0.2136190341786216,0.2290175163279455,0.987662935774695,0.4798967648378966,0.30942296634866756,1.103448275862069,1.1111111111111112,1.12
12,47,12,0.4946656773363012,0.2255702858690134,0.1515325460564539,0.1785714285714286,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.2727272727272727,0.0,0.5795360195360195,0.5415138507502126,0.217864935620806,0.2276996161091092,0.9516829374908932,0.4252667859746801,0.30711798726548156,0.9032258064516129,0.896551724137931,0.8888888888888888
17,74,17,0.6390733836033691,0.4131556823887714,0.3159993152316803,0.3939393939393939,0.0222222222222222,0.0,0.0769230769230768,0.0,0.6153846153846154,0.1666666666666666,0.4705882352941176,0.125,0.7426352339181288,0.7456970384992448,0.2073689052493401,0.1758292832101735,1.0,0.7098067287043666,0.8175590539689516,0.9583333333333334,0.9565217391304347,0.9545454545454545
37,84,37,0.8433364511492784,0.6886615587844477,0.6184200991468378,0.5555555555555556,0.21875,0.15625,0.2857142857142857,0.0952380952380952,0.7142857142857143,0.4615384615384615,0.6666666666666666,0.4285714285714285,0.6275000000000001,0.7941665109370265,0.2470949847872928,0.2345245230087739,0.9834123222748814,0.8590033033104401,1.0132903830621132,0.9268292682926829,0.923076923076923,0.9189189189189189
29,71,29,0.7225010186897469,0.647275457005268,0.5957007954930091,0.55,0.1666666666666666,0.0833333333333333,0.1875,0.0,0.6363636363636364,0.3,0.7,0.3333333333333333,0.690625,0.8227533512074422,0.2180142507065585,0.1590998836072116,0.9889763779527558,0.7811111111111111,1.115190480102001,1.0,1.0,1.0
22,67,22,0.6165856592912821,0.439435374402041,0.3703536708077541,0.4,0.0666666666666666,0.0,0.0555555555555555,0.0,0.5,0.1,0.5,0.1111111111111111,0.7214960058097313,0.4900980294098033,0.2574096385909577,0.2706596515699286,0.9865951742627344,0.6749196222880435,0.687815951517675,1.0,1.0,1.0
